temporada,jogos,campeao,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,34,bayern de munique,24,5,5,75,33,455,56.3
2005/06,34,bayern de munique,22,9,3,67,32,462,56.1
2006/07,34,stuttgart,21,7,6,61,37,455,53.4
2007/08,34,bayern de munique,22,10,2,68,21,470,57.2
2008/09,34,wolfsburg,21,6,7,80,41,465,53.2
2009/10,34,bayern de munique,20,10,4,72,31,485,58.1
2010/11,34,borussia dortmund,23,6,5,67,22,490,55.4
2011/12,34,borussia dortmund,25,6,3,80,25,500,56.3
2012/13,34,bayern de munique,29,4,1,98,18,520,60.2
2013/14,34,bayern de munique,29,3,2,94,23,535,61.4
2014/15,34,bayern de munique,25,4,5,80,18,545,62.1
2015/16,34,bayern de munique,28,4,2,80,17,555,63.2
2016/17,34,bayern de munique,25,7,2,89,22,560,63
2017/18,34,bayern de munique,27,3,4,92,28,565,62.4
2018/19,34,bayern de munique,24,6,4,88,32,570,62.1
2019/20,34,bayern de munique,26,4,4,100,32,575,62.3
