temporada,jogos,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,34,6,8,20,30,62,315,44.5
2005/06,34,6,9,19,31,63,319,44.7
2006/07,34,6,8,20,30,61,323,44.4
2007/08,34,6,9,19,31,63,327,44.6
2008/09,34,6,8,20,32,65,331,44.8
2009/10,34,6,9,19,31,64,335,45
2010/11,34,6,8,20,32,66,339,45.2
2011/12,34,6,9,19,33,65,343,45.4
2012/13,34,6,8,20,32,67,347,45.6
2013/14,34,6,9,19,33,66,351,45.5
2014/15,34,6,8,20,32,64,355,45.7
2015/16,34,6,9,19,33,66,359,45.9
2016/17,34,6,8,20,34,68,363,45.8
2017/18,34,6,9,19,33,65,365,45.6
2018/19,34,6,8,20,34,67,367,45.4
2019/20,34,6,8,20,35,69,369,45.2
