temporada,tecnico,jogos,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,rijkaard,38,25,9,4,73,29,470,58.4
2005/06,rijkaard,38,26,7,5,80,35,485,59.1
2006/07,rijkaard,38,22,10,6,78,33,498,60.2
2007/08,rijkaard,38,19,10,9,76,43,500,60
2008/09,guardiola,38,27,6,5,105,35,610,65.3
2009/10,guardiola,38,31,6,1,98,24,640,67.1
2010/11,guardiola,38,30,6,2,95,21,670,68.2
2011/12,guardiola,38,28,7,3,114,29,685,69
2012/13,tito vilanova,38,32,4,2,115,40,670,68.1
2013/14,gerardo martino,38,27,6,5,100,33,630,64.3
2014/15,luis enrique,38,30,4,4,110,21,590,62.4
2015/16,luis enrique,38,29,4,5,112,29,580,61.2
2016/17,luis enrique,38,28,6,4,116,37,575,60.4
2017/18,ernesto valverde,38,28,9,1,99,29,545,58.3
2018/19,ernesto valverde,38,26,9,3,90,36,535,57.6
2019/20,quique setien,38,25,7,6,86,38,550,61.3
