temporada,jogos,campeao,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,13,liverpool,7,4,2,18,9,420,51.3
2005/06,13,barcelona,9,4,0,24,5,520,60.4
2006/07,13,milan,7,3,3,20,10,500,54.2
2007/08,13,manchester united,9,4,0,20,6,525,55.3
2008/09,13,barcelona,7,5,1,32,13,620,65.2
2009/10,13,inter de milao,8,3,2,17,9,430,45.4
2010/11,13,barcelona,9,3,1,30,9,650,68.1
2011/12,13,chelsea,7,4,2,25,12,430,47.2
2012/13,13,bayern de munique,10,1,2,31,11,540,55.4
2013/14,13,real madrid,11,1,1,41,10,560,56.3
2014/15,13,barcelona,11,0,2,31,11,590,60.2
2015/16,13,real madrid,9,3,1,28,6,555,55.6
2016/17,13,real madrid,9,3,1,36,18,565,55.3
2017/18,13,real madrid,9,2,2,33,16,560,55.1
2018/19,13,liverpool,8,1,4,24,12,520,52.4
2019/20,11,bayern de munique,11,0,0,43,8,600,58.3
