temporada,jogos,gols_feitos,gols_sofridos,posse,passes
2004/05,12.5,18,10,53.2,480
2005/06,12.5,21,8,56.1,510
2006/07,12.5,20,9,54.4,500
2007/08,12.5,20,8,55.3,515
2008/09,12.5,25,12,59.2,570
2009/10,12.5,19,9,52.4,500
2010/11,12.5,24,9,60.3,590
2011/12,12.5,22,11,54.1,520
2012/13,12.5,25,10,57.2,545
2013/14,12.5,28,11,57.4,550
2014/15,12.5,25,10,58.3,560
2015/16,12.5,24,10,56.4,550
2016/17,12.5,27,13,56.2,555
2017/18,12.5,26,12,57.1,555
2018/19,12.5,24,11,56.3,540
2019/20,10.5,25,9,57.2,565
