temporada,jogos,campeao,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,38,barcelona,25,9,4,73,29,470,58.4
2005/06,38,barcelona,26,7,5,80,35,485,59.1
2006/07,38,real madrid,23,7,8,66,40,430,54.4
2007/08,38,real madrid,27,5,6,84,36,445,55.2
2008/09,38,barcelona,27,6,5,105,35,610,65.3
2009/10,38,barcelona,31,6,1,98,24,640,67.1
2010/11,38,barcelona,30,6,2,95,21,670,68.2
2011/12,38,real madrid,32,4,2,121,32,520,57.4
2012/13,38,barcelona,32,4,2,115,40,670,68.1
2013/14,38,atletico de madrid,28,6,4,77,26,390,50.6
2014/15,38,barcelona,30,4,4,110,21,590,62.4
2015/16,38,barcelona,29,4,5,112,29,580,61.2
2016/17,38,real madrid,29,6,3,106,41,540,56.3
2017/18,38,barcelona,28,9,1,99,29,545,58.3
2018/19,38,barcelona,26,9,3,90,36,535,57.6
2019/20,38,real madrid,26,9,3,70,25,500,57.2
