temporada,jogos,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,38,9,10,19,36,58,300,44.6
2005/06,38,8,11,19,35,60,305,44.8
2006/07,38,9,9,20,34,61,308,44.5
2007/08,38,8,10,20,33,62,312,44.9
2008/09,38,8,9,21,35,64,318,45.1
2009/10,38,8,10,20,34,63,322,45.3
2010/11,38,9,8,21,36,65,326,45.6
2011/12,38,8,12,18,35,60,330,45.8
2012/13,38,9,9,20,42,68,334,46
2013/14,38,8,8,22,37,66,336,45.7
2014/15,38,8,9,21,36,64,338,45.9
2015/16,38,9,8,21,39,67,340,46.1
2016/17,38,8,10,20,40,69,342,45.8
2017/18,38,7,10,21,38,68,344,45.6
2018/19,38,8,10,20,40,63,346,45.4
2019/20,38,8,9,21,37,62,348,45.2
