temporada,jogos,campeao,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,38,lyon,22,13,3,56,22,430,55.2
2005/06,38,lyon,25,9,4,73,31,440,56.1
2006/07,38,lyon,24,9,5,64,27,445,56.4
2007/08,38,lyon,24,7,7,74,37,450,56
2008/09,38,bordeaux,24,8,6,64,34,455,55.3
2009/10,38,olympique marseille,23,9,6,69,36,458,55.1
2010/11,38,lille,21,13,4,68,36,462,56.2
2011/12,38,montpellier,25,7,6,68,34,460,53.4
2012/13,38,psg,25,8,5,69,23,475,57.3
2013/14,38,psg,27,8,3,84,23,490,59.1
2014/15,38,psg,24,11,3,83,36,500,60.2
2015/16,38,psg,30,6,2,102,19,520,62.4
2016/17,38,monaco,30,5,3,107,31,505,56.3
2017/18,38,psg,29,6,3,108,29,525,61.5
2018/19,38,psg,29,4,5,105,35,530,61.2
2019/20,27,psg,22,2,3,75,24,535,62.1
