temporada,jogos,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,38,8,10,20,33,55,310,44.5
2005/06,38,7,11,20,32,57,314,44.7
2006/07,38,8,9,21,31,58,318,44.3
2007/08,38,8,10,20,32,59,322,44.8
2008/09,38,8,9,21,33,61,326,45
2009/10,38,8,10,20,34,62,330,45.2
2010/11,38,8,11,19,34,61,334,45.4
2011/12,38,8,10,20,35,63,338,45.6
2012/13,38,8,9,21,36,65,342,45.8
2013/14,38,7,10,21,34,64,344,45.5
2014/15,38,8,9,21,35,66,346,45.7
2015/16,38,8,10,20,36,67,348,45.9
2016/17,38,8,8,22,37,69,350,45.6
2017/18,38,7,9,22,36,68,352,45.4
2018/19,38,8,9,21,35,66,354,45.2
2019/20,27,5,8,14,27,50,356,45
