temporada,jogos,campeao,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,38,chelsea,29,8,1,72,15,470,54.3
2005/06,38,chelsea,29,4,5,72,22,480,55.1
2006/07,38,manchester united,28,5,5,83,27,490,56.2
2007/08,38,manchester united,27,6,5,80,22,500,56.4
2008/09,38,manchester united,28,6,4,68,24,510,57.1
2009/10,38,chelsea,27,5,6,103,32,515,56.3
2010/11,38,manchester united,23,11,4,78,37,520,57
2011/12,38,manchester city,28,5,5,93,29,530,58.2
2012/13,38,manchester united,28,5,5,86,43,535,57.4
2013/14,38,manchester city,27,5,6,102,37,545,58.3
2014/15,38,chelsea,26,9,3,73,32,550,57.2
2015/16,38,leicester,23,12,3,68,36,430,44.5
2016/17,38,chelsea,30,3,5,85,33,540,54.4
2017/18,38,manchester city,32,4,2,106,27,610,66.2
2018/19,38,manchester city,32,2,4,95,23,620,66.4
2019/20,38,liverpool,32,3,3,85,33,585,59.3
