temporada,jogos,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,38,7,9,22,33,65,330,44.8
2005/06,38,7,8,23,32,66,334,44.6
2006/07,38,7,9,22,33,67,338,44.7
2007/08,38,7,8,23,34,68,342,44.9
2008/09,38,7,9,22,34,69,346,45.1
2009/10,38,7,8,23,35,70,350,45.3
2010/11,38,7,9,22,35,68,354,45.5
2011/12,38,7,8,23,34,69,358,45.7
2012/13,38,7,9,22,35,71,362,45.8
2013/14,38,7,8,23,36,72,366,45.6
2014/15,38,7,9,22,35,70,370,45.8
2015/16,38,7,8,23,36,72,374,46
2016/17,38,7,9,22,37,74,378,45.8
2017/18,38,7,8,23,36,73,382,45.6
2018/19,38,7,9,22,37,75,386,45.4
2019/20,38,7,8,23,36,74,388,45.2
