temporada,jogos,campeao,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,38,juventus,26,8,4,67,27,455,55.2
2005/06,38,juventus,27,10,1,71,24,465,56.1
2006/07,38,inter de milao,30,7,1,80,34,470,57.3
2007/08,38,inter de milao,25,10,3,69,36,475,57.1
2008/09,38,inter de milao,25,9,4,70,32,480,56.8
2009/10,38,inter de milao,24,10,4,75,34,485,56.2
2010/11,38,milan,24,10,4,65,24,490,56.4
2011/12,38,juventus,23,15,0,68,20,500,58.3
2012/13,38,juventus,27,6,5,71,24,510,59.1
2013/14,38,juventus,33,3,2,80,23,525,60.2
2014/15,38,juventus,26,9,3,72,24,530,60.4
2015/16,38,juventus,29,4,5,75,20,535,59.3
2016/17,38,juventus,29,4,5,77,27,540,58.4
2017/18,38,juventus,30,5,3,86,24,545,57.6
2018/19,38,juventus,28,6,4,70,30,550,57.2
2019/20,38,juventus,26,5,7,76,43,555,57
