temporada,jogos,vitorias,empates,derrotas,gols_feitos,gols_sofridos,passes_medios,posse
2004/05,38,7,10,21,32,60,320,44.8
2005/06,38,7,9,22,31,62,324,44.6
2006/07,38,8,8,22,32,64,328,44.7
2007/08,38,7,10,21,33,65,332,44.9
2008/09,38,8,9,21,34,66,336,45
2009/10,38,7,10,21,33,65,340,45.2
2010/11,38,8,9,21,34,64,344,45.4
2011/12,38,7,11,20,33,63,348,45.6
2012/13,38,8,9,21,34,66,352,45.8
2013/14,38,7,10,21,33,67,356,45.7
2014/15,38,8,9,21,34,66,360,45.9
2015/16,38,7,10,21,35,68,364,46
2016/17,38,8,9,21,36,70,368,45.8
2017/18,38,7,10,21,35,69,370,45.6
2018/19,38,8,9,21,36,68,372,45.4
2019/20,38,7,9,22,35,70,374,45.2
